SPEAKER	SENTENCE	DOMAINID	DOMAIN	CATEGORY	SPEAKERID	SENTENCEID	MAIN	SUB	QA	QACNCT	MQ	SQ	UA	SA	개체명	용어사전	지식베이스
고객	아이스아메리카노 하나요	F	카페	카페	1	1	일반주문		Q		아이스 아메리카노 하나요				"아이스 아메리카노, 하나"		
점원	테이크아웃하실 건가요?	F	카페	카페	0	2	일반주문	테이크아웃여부	Q			테이크아웃하실 건가요?			테이크아웃		
고객	네 텀블러에 넣어주세요	F	카페	카페	1	3	텀블러사용		Q		네 텀블러에 넣어주세요				텀블러		
점원	텀블러 할인 300원 해드릴게요	F	카페	카페	0	4	텀블러사용		A					텀블러 할인 300원 해드릴게요	"텀블러, 할인, 300원"		
고객	그란데 사이즈로 주세요	F	카페	카페	1	5	일반주문		Q		그란데 사이즈로 주세요				그란데 사이즈		
점원	적립카드 있으세요?	F	카페	카페	0	6	쿠폰멤버십적립문의	적립카드	Q			적립카드 있으세요?			적립카드		
고객	네 보고쿠폰으로 결제할게요	F	카페	카페	1	7	쿠폰멤버십적립문의	적립카드	A				네 보고 쿠폰으로 결제할게요		"쿠폰, 결제"		
점원	현금영수증 해드릴까요?	F	카페	카페	0	8	현금영수증요청	현금영수증문의	Q			현금영수증 해드릴까요?			현금영수증		
고객	괜찮습니다	F	카페	카페	1	9	현금영수증요청	현금영수증문의	A				괜찮습니다				
점원	저쪽에서 잠시만 대기해주세요	F	카페	카페	0	10	일반주문		A	5				저쪽에서 잠시만 대기해주세요	대기		
고객	저 카푸치노로 주문할게요	F	카페	카페	1	1	일반주문		Q		저 카푸치노로 주문할게요				"카푸치노, 주문"		
점원	시럽은 얼마나 뿌려드릴까요?	F	카페	카페	0	2	일반주문	시럽여부	Q			시럽은 얼마나 뿌려드릴까요?			"시럽, 얼마나"		
고객	3번 뿌려주세요	F	카페	카페	1	3	일반주문	시럽여부	A				3번 뿌려주세요		3번		
점원	위에 크림 올려드릴까요?	F	카페	카페	0	4	일반주문	토핑	Q			위에 크림 올려드릴까요?			"위, 크림"		
고객	네 많이 올려주세요	F	카페	카페	1	5	일반주문	토핑	A				네 많이 올려주세요				
점원	오늘 이벤트 해서 커피를 주문하시면 2000원 추가하시면 브레드를 드립니다	F	카페	카페	0	6	일반주문		A	1				오늘 이벤트 해서 커피를 주문하시면 2000원 추가하시면 브레드를 드립니다	"이벤트, 커피, 주문, 2000원, 추가, 브레드"		
고객	그럼 2000원 추가해서 브레드도 같이 시킬게요	F	카페	카페	1	7	결제요청		Q		그럼 2000원 추가해서 브레드도 같이 시킬게요				"2000원, 추가, 브레드"		
점원	그럼 카푸치노와 브레드 결제 도와드리겠습니다	F	카페	카페	0	8	결제요청		A					그럼 카푸치노와 브레드 결제 도와드리겠습니다	"카푸치노, 브레드, 결제"		
고객	저 도장 다 모았는데 나중에 써도 되나요?	F	카페	카페	1	9	기프티콘쿠폰멤버십사용문의		Q		저 도장 다 모았는데 나중에 써도 되나요?				도장		
