SPEAKER,SENTENCE,DOMAINID,DOMAIN,CATEGORY,SPEAKERID,SENTENCEID,MAIN,SUB,QA,QACNCT,MQ,SQ,UA,SA,개체명,용어사전,지식베이스,
고객,지금 배달되나요?,A,음식점,배달음식점,1,1,배달가능문의,,Q,,지금 배달되나요?,,,,"수고, 지금, 배달",,,
점원,아 네 배달됩니다,A,음식점,배달음식점,0,2,배달가능문의,,A,,,,,아 네 배달됩니다,배달,,,
고객,짬뽕류는 어떤 게 있나요? 잘 나가는 짬뽕 있나요?,A,음식점,배달음식점,1,3,베스트메뉴문의추천요청,,Q,,짬뽕류는 어떤 게 있나요? 잘 나가는 짬뽕 있나요?,,,,짬뽕,,짬뽕/메뉴,
점원,특해물 짬뽕도 있고 전복 새우 짬뽕도 있고 해물 종류도 새우 홍합 전복 없는 게 없습니다,A,음식점,배달음식점,0,4,베스트메뉴문의추천요청,,A,,,,,특해물 짬뽕도 있고 전복 새우 짬뽕도 있고 해물 종류도 새우 홍합 전복 없는 게 없습니다,"특해물 짬뽕, 전복 새우 짬뽕, 해물 종류, 새우, 홍합, 전복",,"특해물 짬뽕/메뉴, 전복 새우 짬뽕/메뉴, 새우/해물/재료, 홍합/해물/재료, 전복/해물/재료",
고객,전복 들어가는 거는 특해물 짬뽕 시켜야 돼요?,A,음식점,배달음식점,1,5,메뉴정보문의,,Q,,전복 들어가는 거는 특해물 짬뽕 시켜야 돼요?,,,,"전복, 특해물 짬뽕",,"전복/해물/재료, 특해물 짬뽕/메뉴",
점원,전복 짬뽕 시키면 전복이 들어가죠,A,음식점,배달음식점,0,6,메뉴정보문의,,A,,,,,전복 짬뽕 시키면 전복이 들어가죠,"전복 짬뽕, 전복",,"전복 짬뽕/메뉴, 전복/해물/재료",
고객,전복 들어가고 여러 가지 또 딴 것도 들어가죠?,A,음식점,배달음식점,1,7,메뉴정보문의,,Q,,전복 들어가고 여러 가지 또 딴 것도 들어가죠?,,,,전복,,전복/해물/재료,
점원,네네,A,음식점,배달음식점,0,8,메뉴정보문의,,A,,,,,네네,,,,
고객,마차이 짬뽕밥은 돼지고기 들어가나요?,A,음식점,배달음식점,1,9,메뉴정보문의,,Q,,마차이 짬뽕밥은 돼지고기 들어가나요?,,,,"마차이 짬뽕밥, 돼지고기",,"마차이 짬뽕밥/메뉴, 돼지고기/재료",
점원,짬뽕은 돼지고기 약간씩 들어갑니다,A,음식점,배달음식점,0,10,메뉴정보문의,,A,,,,,짬뽕은 돼지고기 약간씩 들어갑니다,"짬뽕, 돼지고기, 약간",,"짬뽕/메뉴, 돼지고기/재료",
